datasets,spl,single_ans,conversations,answer
ibm_type,sample,ANECDOTAL,"the U.S. granted asylum to more than 100,000 Vietnamese refugees during the Vietnam War."" [REF",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"The first European power to successfully implement a meritocratic civil service was the British Empire, in their administration of India. To avoid corruption, ""company managers hired and promoted employees based on competitive examinations in order to prevent corruption and favoritism.""[REF",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"Holly Ann Collins, together with her three children, were the first Americans to be granted asylum in the Netherlands, in June 1994, on the grounds of abuse. The family were in transit to Netherlands when they disembarked in the country, and sought asylum. This was granted three years later, for humanitarian reasons [REF",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"On June 25, 2003, two American step brothers, Joshua and William Buckner, aged 14 and 16, respectively, used a rifle to fire at vehicles on Interstate 40 in Tennessee, killing a 45-year-old man and wounding a 19-year-old woman. The two shooters told investigators they had been inspired by Grand Theft Auto III [REF",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,the program actually benefits middle- and upper-class African Americans and Hispanic Americans at the expense of lower class European Americans and Asian Americans,['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"On March 5, 2009, France proposed new laws to regulate and tax Internet gambling",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"New Zealand. Individuals of M?ori or other Polynesian descent are often afforded improved access to university courses, or have scholarships earmarked specifically for them [REF",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"The first known ATF ""gunwalking"" operation to Mexican drug cartels, named Operation Wide Receiver, began in early 2006 and ran into late 2007. Licensed dealer Mike Detty informed the ATF of a suspicious gun purchase that took place in February 2006 in Tucson, Arizona. In March he was hired as a confidential informant working with the ATF's Tucson office, part of their Phoenix, Arizona field division [REF]. With the use of surveillance equipment, ATF agents monitored additional sales by Detty to straw purchasers. With assurance from ATF ""that Mexican officials would be conducting surveillance or interdictions when guns got to the other side of the border"",[REF] Detty would sell a total of about 450 guns during the operation [REF",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"E. V. Ramasami Naicker (Periyar), a prominent atheist leader of India, fought against Hinduism and Brahmins for discriminating and dividing people in the name of caste and religion [REF",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"In December 2007, a Russian man was beaten to death over an argument in the MMORPG Lineage II. The man was killed when his guild and a rival one challenged each other to a real-life brawl [REF",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"In 1990, Prime Minister V.P. Singh announced that 27% of government positions would be set aside for OBC's in addition to the 22% already set aside for the SCs and STs [REF",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"In 2003, a Supreme Court decision (Gratz v. Bollinger, 539 US 244 - Supreme Court 2003) concerning affirmative action in universities allowed educational institutions to consider race as a factor in admitting students",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"Thirty years after the civil rights era, the United States remains a residentially segregated society in which Blacks and Whites inhabit different neighborhoods of vastly different quality [REF",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"In June 2007, 22-year-old Alejandro Garcia from Texas shot dead his cousin after arguing over whose turn it was to play the game Scarface: The World Is Yours. He pleaded guilty for murder at his trial on April 6, 2011, and will serve 15 to 30 years in prison [REF",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"Government policy provides preferential placement for ethnic Malays, and 95% of all new intakes for the army, hospital nurses, police, and other government institutions are Malays",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"In January 2010, Gary Alcock punched, slapped and pinched his partner's 15-month-old daughter in the three weeks leading up to her death before he delivered a fatal blow to the stomach which tore her internal organs because she interrupted him playing his Xbox",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"Taxes had never been accepted as a way to raise public funding for projects, and this led to the popular belief that lotteries were a form of hidden tax",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"Fox News reported that Montreal shooting case in Canada was carried out by the criminal Kimveer Gill,[REF] who is a player of Super Columbine Massacre, whose narrative attaches with strong violence sense",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"Fundamentalist Mormon sects within the Latter Day Saint movement, rejected the LDS Church’s 1978 decision to allow African Americans to hold the priesthood, and continue to deny activity in the church due to race [REF",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"In most Canadian Universities, people of Aboriginal background normally have lower entrance requirements and are eligible to receive exclusive scholarships",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,The earliest records of a lottery offering tickets for sale is the lottery organized by Roman Emperor Augustus Caesar. The funds were for repairs in the City of Rome,['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"In his book, Grant argued that the American racial stock was being diluted by the influx of new immigrants from the Mediterranean, the Balkans, and the Polish ghettos",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"In May 2010, French gamer Julien Barreaux located and stabbed a fellow player who had stabbed Barreaux on the game Counter-Strike",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,The Russian writer Dostoevsky (himself a problem gambler) portrays in his novella The Gambler the psychological implications of gambling and how gambling can affect gamblers,['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"Many major religions, most prominently traditional Christianity, Islam, Hinduism and Orthodox Judaism, consider homosexuality immoral",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"In June 2008, four teens allegedly obsessed with Grand Theft Auto IV went on a crime spree after being in New Hyde Park, New York. They first robbed a man, knocking his teeth out and then they stopped a woman driving a black BMW and stole her car and her cigarettes [REF",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"In June 2007, 22-year-old Alejandro Garcia from Texas shot dead his cousin after arguing over whose turn it was to play the game Scarface: The World Is Yours",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,The first recorded signs of a lottery are keno slips from the Chinese Han Dynasty between 205 and 187 B.C. These lotteries are believed to have helped to finance major government projects like the Great Wall of China,['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"In May 2010, French gamer Julien Barreaux located and stabbed a fellow player who had stabbed Barreaux on the game Counter-Strike. The judge at his trial called him ""a menace to society.""[REF",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"In the United States, the Equal Employment Opportunity Commission sued a private test preparation firm, Kaplan, for unfairly using credit histories to discriminate against African Americans in terms of hiring decisions [REF",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"In January 2010, 9-year-old Anthony Maldonado was stabbed by relative Alejandro Morales after an argument regarding Maldonado's recently purchased copy of Tony Hawk: Ride and PlayStation 3 console [REF",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,Some Native American tribes operate casinos on tribal land to provide employment and revenue for their government and their tribe members,['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"In 2005, fifteen years after the end of the GDR, the manufacturer of the drugs in former East Germany, Jenapharm, still finds itself involved in numerous lawsuits from doping victims, being sued by almost 200 former athletes [REF",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"In 1977, one of East Germany's best sprinters, Renate Neufeld, fled to the West with the Bulgarian she later married. A year later she said that she had been told to take drugs supplied by coaches while training to represent East Germany in the 1980 Olympic Games.   At 17, I joined the East Berlin Sports Institute. My speciality was the 80m hurdles. We swore that we would never speak to anyone about our training methods, including our parents. The training was very hard. We were all watched. We signed a register each time we left for dormitory and we had to say where we were going and what time we would return. One day, my trainer, Gnter Clam, advised me to take pills to improve my performance: I was running 200m in 24 seconds. My trainer told me the pills were vitamins, but I soon had cramp in my legs, my voice became gruff and sometimes I couldn't talk any more. Then I started to grow a moustache and my periods stopped. I then refused to take these pills. One morning in October 1977, the secret police took me at 7am and questioned me about my refusal to take pills prescribed by the trainer. I then decided to flee, with my fiancי [REF].   She brought with her to the West grey tablets and green powder she said had been given to her, to members of her club, and to other athletes. The West German doping analyst Manfred Donike reportedly identified them as anabolic steroids",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"Fifteen rounds remained the internationally recognized limit for championship fights for most of the twentieth century until the early 1980s, when the death of boxer Duk Koo Kim reduced the limit to twelve",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"In December 2007, 17-year-old Lamar Roberts and 16-year-old Heather Trujillo were accused of beating a seven-year-old girl to death. They are said to have been imitating the moves taken from the game ""Mortal Kombat"" [REF",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,The topic of illegal working had continued to move up the political agenda since Kenneth Baker had rejected more internal controls in 1992,['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"In September 2007 in Ohio, 16-year-old Daniel Petric snuck out of his bedroom window to purchase the game Halo 3 against the orders of his father, a minister at New Life Assembly of God in Wellington, Ohio, U.S [REF]. His parents eventually banned him from the game after he spent up to 18 hours a day with it, and secured it in a lockbox in a closet where the father also kept a 9mm handgun, according to prosecutors [REF]. In October 2007, Daniel used his father's key to open the lockbox and remove the gun and the game. He then entered the living room of his house and shot both of them in the head, killing his mother and wounding his father",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"Lotteries eventually became controversial due to financial mismanagement and scandal. Most notorious was the Louisiana State Lottery (1868–1892) which was called the ""Golden Octopus"" because its tentacles reached into every home in America",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"On August 2, 2008, Polwat Chinno, a 19-year-old Thai teenager, stabbed a Bangkok taxi driver to death during an attempt to steal the driver's cab in order to obtain money to buy a copy of Grand Theft Auto IV. A police official said that the teen was trying to copy a similar act in the game",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"In January 2010, 9-year-old Anthony Maldonado was stabbed by relative Alejandro Morales after an argument regarding Maldonado's recently purchased copy of Tony Hawk: Ride and PlayStation 3 console [REF",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,Authors such as Samuel Huntington have also seen recent Hispanic immigration as creating a national identity crisis and presenting insurmountable problems for US social institutions [REF,['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"The first meritocracy was implemented in the 2nd century BC, by the Han Dynasty, which introduced the world's first civil service exams evaluating the ""merit"" of officials [REF",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"On June 25, 2003, two American step brothers, Joshua and William Buckner, aged 14 and 16, respectively, used a rifle to fire at vehicles on Interstate 40 in Tennessee, killing a 45-year-old man and wounding a 19-year-old woman. The two shooters told investigators they had been inspired by Grand Theft Auto III [REF",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"In the United States, the Equal Employment Opportunity Commission sued a private test preparation firm, Kaplan, for unfairly using credit histories to discriminate against African Americans in terms of hiring decisions [REF",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,Political asylum is recognized in France (droit d'asile) by the 1958 Constitution,['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"On August 2, 2008, Polwat Chinno, a 19-year-old Thai teenager, stabbed a Bangkok taxi driver to death during an attempt to steal the driver's cab in order to obtain money to buy a copy of Grand Theft Auto IV. A police official said that the teen was trying to copy a similar act in the game",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,The Great Depression saw the legalization of some forms of gambling such as bingo in some cities to allow churches and other groups to raise revenue,['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"The Canadian Employment Equity Act requires employers in federally-regulated industries to give preferential treatment to four designated groups: Women, people with disabilities, aboriginal people, and visible minorities",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"In the UK, lotteries are permitted provided they raise money for charities. By law, the charity must receive at least 20% of the value of the lottery ticket",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"On June 25, 2003, two American step brothers, Joshua and William Buckner, aged 14 and 16, respectively, used a rifle to fire at vehicles on Interstate 40 in Tennessee, killing a 45-year-old man and wounding a 19-year-old woman. The two shooters told investigators they had been inspired by Grand Theft Auto III [REF",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,The UNHCR has declared Eritrea as a country in humanitarian crisis,['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"In Buddhism, the problem of evil, or the related problem of dukkha, is one argument against a benevolent, omnipotent creator god, identifying such a notion as attachment to a false concept [REF",['ANECDOTAL']
ibm_type,sample,ANECDOTAL,"Enacted in 1970, Title X of the Public Health Service Act provides access to contraceptive services, supplies and information to those in need",['ANECDOTAL']
